"Locus"	"Allele"	"Frequency_recent"	"x_recent"	"y_recent"	"Frequency_historic"	"x_historic"	"y_historic"	"Euclidean_distance"	"Resistance_based_distance"	"Landscape_resistance"
"Leon30"	261	0.417	-3838237.33456959	10743235.3186302	0.2	-3831937.84248834	10755283.7805037	13595.9197555744	16554.1	348.63
"Leon30"	261	0.3	-3813163.86437249	10786407.7220874	0.5	-3813163.86437249	10786407.7220874	0	NA	NA
"Leon30"	261	0.1	-3815584.56216887	10786021.2221798	0.25	-3815584.56216887	10786021.2221798	0	2057.6	280.66
"Leon30"	261	0.167	-3833855.99332499	10743061.3390386	0.2	-3831937.84248834	10755283.7805037	12372.0401712899	16427.3	337.29
"Leon30"	261	0.375	-3832993.68094611	10741619.8181885	0.2	-3831937.84248834	10755283.7805037	13704.6948524949	15355.1	339.45
"Leon30"	261	0.5	-3830707.82318852	10748056.3712499	0.2	-3831937.84248834	10755283.7805037	7331.3294837984	24974.9	109.6
"Leon30"	261	0.5	-3831382.3291709	10761621.4744814	0.25	-3830730.82009379	10761761.5920122	666.406032383429	1526.4	272.35
"Leon30"	261	0.35	-3830807.19829394	10761465.0344789	0.25	-3830730.82009379	10761761.5920122	306.235203722777	847.3	226.8
"Leon30"	261	0.25	-3831937.84248834	10755283.7805037	0.2	-3831937.84248834	10755283.7805037	0	1180.2	232.53
"Leon30"	261	0.1	-3832877.64520233	10756133.923938	0.2	-3831937.84248834	10755283.7805037	1267.26990022212	1180.2	232.53
"Leon30"	261	0.5	-3832571.68254384	10756718.2730217	0.2	-3831937.84248834	10755283.7805037	1568.28632589665	1568.2	302.49
"Leon30"	261	0.25	-3836836.95539439	10725661.5737201	0.5	-3837136.55322491	10725944.4555681	412.04490046937	858.2	200.74
"Leon30"	261	0.167	-3835526.43175286	10725638.5783946	0.5	-3837136.55322491	10725944.4555681	1638.91793571992	2181	302.03
"Leon30"	261	0.333	-3835251.78597857	10727696.8132448	0.5	-3837136.55322491	10725944.4555681	2573.5393915834	2845.2	310.53
"Leon30"	261	0.25	-3836472.47647905	10726779.8112263	0.5	-3837136.55322491	10725944.4555681	1067.15369090228	1183.3	249.81
"Leon30"	261	0.25	-3835943.12387789	10727185.94153	0.5	-3837136.55322491	10725944.4555681	1722.08042785983	1843.5	251.62
"Leon30"	261	0.25	-3837092.19493726	10741953.0389327	0.2	-3831937.84248834	10755283.7805037	14292.5162235358	16214.9	349.65
"Leon30"	261	0.167	-3837092.19493726	10741953.0389327	0.2	-3831937.84248834	10755283.7805037	14292.5162235358	16214.9	349.65
"Leon30"	275	0.2	-3815584.56216887	10786021.2221798	0.083	-3815584.56216887	10786021.2221798	0	2057.6	280.66
"Leon30"	275	0.125	-3832136.75534032	10760691.8798628	0.083	-3832097.11584667	10761638.2675796	947.217504064122	1487.7	307.09
"Leon30"	275	0.2	-3831327.27853097	10755077.3255354	0.083	-3832097.11584667	10761638.2675796	6605.95261866257	9600.1	332.07
"Leon30"	277	0.125	-3849038.62221455	10749887.0697689	0.4	-3845105.93131116	10745187.5234867	6127.95177853164	6520.6	665.28
"Leon30"	277	0.167	-3838237.33456959	10743235.3186302	0.4	-3845105.93131116	10745187.5234867	7140.63897700959	16039.3	237.81
"Leon30"	277	0.125	-3814085.76421928	10787968.3199448	0.1	-3814809.19283505	10787454.7675737	887.178110644303	1041.7	212.97
"Leon30"	277	0.125	-3832993.68094611	10741619.8181885	0.4	-3845105.93131116	10745187.5234867	12626.7624512401	23350.6	365.64
"Leon30"	277	0.5	-3836000.08230449	10726663.9935081	0.167	-3836000.08230449	10726663.9935081	0	1765.1	316.86
"Leon30"	277	0.5	-3837180.12677243	10725471.1783281	0.167	-3835526.43175286	10725638.5783946	1662.14620296285	1879.05	320.235
"Leon30"	277	0.25	-3836836.95539439	10725661.5737201	0.167	-3836000.08230449	10726663.9935081	1305.83383322423	1366.25	270.54
"Leon30"	277	0.5	-3836745.63268835	10725400.5887332	0.167	-3835526.43175286	10725638.5783946	1242.2117371936	1277.1	323.09
"Leon30"	277	0.167	-3835251.78597857	10727696.8132448	0.167	-3836000.08230449	10726663.9935081	1275.4073858989	1765.1	316.86
"Leon30"	277	0.25	-3834929.02189673	10728357.9458695	0.167	-3836000.08230449	10726663.9935081	2004.15692998493	2385.2	302.8
"Leon30"	277	0.167	-3837092.19493726	10741953.0389327	0.4	-3845105.93131116	10745187.5234867	8641.86675435336	16744.8	282.12
"Leon30"	279	0.286	-3848812.68503423	10745487.219727	0.357	-3850355.73962123	10743765.1516269	2312.25777109792	2458.4	247.46
"Leon30"	279	0.643	-3848205.93586398	10746463.4673618	0.1	-3845105.93131116	10745187.5234867	3352.32173276538	3502.9	361.4
"Leon30"	279	0.25	-3849038.62221455	10749887.0697689	0.1	-3845105.93131116	10745187.5234867	6127.95177853164	6520.6	665.28
"Leon30"	279	0.25	-3838237.33456959	10743235.3186302	0.25	-3833855.99332499	10743061.3390386	4384.79417988561	6724.3	259.51
"Leon30"	279	0.7	-3813163.86437249	10786407.7220874	0.5	-3813163.86437249	10786407.7220874	0	NA	NA
"Leon30"	279	0.9	-3815584.56216887	10786021.2221798	1	-3815584.56216887	10786021.2221798	0	2057.6	280.66
"Leon30"	279	1	-3814809.19283505	10787454.7675737	0.8	-3814809.19283505	10787454.7675737	0	NA	NA
"Leon30"	279	0.8	-3815584.56216887	10786021.2221798	1	-3815584.56216887	10786021.2221798	0	2057.6	280.66
"Leon30"	279	0.875	-3814085.76421928	10787968.3199448	0.8	-3814809.19283505	10787454.7675737	887.178110644303	1041.7	212.97
"Leon30"	279	1	-3815495.03350466	10786313.3002829	1	-3815584.56216887	10786021.2221798	305.491407405913	736.7	91.86
"Leon30"	279	1	-3814085.76421928	10787968.3199448	0.8	-3814809.19283505	10787454.7675737	887.178110644303	1041.7	212.97
"Leon30"	279	0.667	-3833855.99332499	10743061.3390386	0.25	-3833855.99332499	10743061.3390386	0	NA	NA
"Leon30"	279	0.25	-3832993.68094611	10741619.8181885	0.25	-3833855.99332499	10743061.3390386	1679.75146971649	2397	376.75
"Leon30"	279	0.5	-3830707.82318852	10748056.3712499	0.25	-3833855.99332499	10743061.3390386	5904.34772011088	6671.3	298.21
"Leon30"	279	0.125	-3832136.75534032	10760691.8798628	0.083	-3832097.11584667	10761638.2675796	947.217504064122	1487.7	307.09
"Leon30"	279	0.313	-3831937.84248834	10755283.7805037	0.4	-3831937.84248834	10755283.7805037	0	1180.2	232.53
"Leon30"	279	0.4	-3832877.64520233	10756133.923938	0.25	-3832878.60363112	10755831.2953184	302.630137293157	0	0
"Leon30"	279	0.4	-3831327.27853097	10755077.3255354	0.4	-3831937.84248834	10755283.7805037	644.524631020778	1038.1	359.5
"Leon30"	279	0.333	-3832571.68254384	10756718.2730217	0.25	-3832878.60363112	10755831.2953184	938.57871273144	1200.6	295.16
"Leon30"	279	0.5	-3836000.08230449	10726663.9935081	0.333	-3836000.08230449	10726663.9935081	0	1765.1	316.86
"Leon30"	279	0.5	-3835943.12387789	10727185.94153	0.333	-3836000.08230449	10726663.9935081	525.04666459258	845.3	231.06
"Leon30"	279	0.25	-3837180.12677243	10725471.1783281	0.333	-3835526.43175286	10725638.5783946	1662.14620296285	1879.05	320.235
"Leon30"	279	0.167	-3835526.43175286	10725638.5783946	0.333	-3835526.43175286	10725638.5783946	0	3211.1	408.82
"Leon30"	279	0.25	-3836745.63268835	10725400.5887332	0.333	-3835526.43175286	10725638.5783946	1242.2117371936	1277.1	323.09
"Leon30"	279	0.25	-3836472.47647905	10726779.8112263	0.333	-3836000.08230449	10726663.9935081	486.384621470953	849.2	276.88
"Leon30"	279	0.167	-3835526.43175286	10725638.5783946	0.333	-3835526.43175286	10725638.5783946	0	3211.1	408.82
"Leon30"	279	0.5	-3834929.02189673	10728357.9458695	0.333	-3836000.08230449	10726663.9935081	2004.15692998493	2385.2	302.8
"Leon30"	279	0.25	-3837092.19493726	10741953.0389327	0.25	-3833855.99332499	10743061.3390386	3420.72068429586	5768.2	404.14
"Leon30"	279	0.667	-3837092.19493726	10741953.0389327	0.25	-3833855.99332499	10743061.3390386	3420.72068429586	5768.2	404.14
"Leon30"	281	0.125	-3832993.68094611	10741619.8181885	0.375	-3833855.99332499	10743061.3390386	1679.75146971649	2397	376.75
"Leon30"	281	0.05	-3830807.19829394	10761465.0344789	0.375	-3833855.99332499	10743061.3390386	18654.5210873919	48993.4	653.82
"Leon30"	281	1	-3834954.83138545	10726260.0436148	0.5	-3834954.83138545	10726260.0436148	0	2495.1	313.51
"Leon30"	281	0.75	-3837136.55322491	10725944.4555681	0.333	-3836000.08230449	10726663.9935081	1345.10259832124	1343.5	221.14
"Leon30"	281	0.25	-3836836.95539439	10725661.5737201	0.333	-3836000.08230449	10726663.9935081	1305.83383322423	1366.25	270.54
"Leon30"	281	0.25	-3837180.12677243	10725471.1783281	0.333	-3836000.08230449	10726663.9935081	1677.8894480874	1873.4	313.955
"Leon30"	281	0.333	-3835526.43175286	10725638.5783946	0.5	-3834954.83138545	10726260.0436148	844.361297070435	1155.8	252.83
