"Name.i"	"Name.j"	"Source_patch"	"Target_patch"	"Sex.i"	"Sex.j"	"Fij"	"Management"	"Roads"	"Resistance_based_distance"	"Euclidean_distance"	"Landscape_resistance"	"Landscape_connectivity"
"AE100"	"AE101"	100	100	"M"	"F"	0.332897	"22"	"0"	0	0	0	0
"AE100"	"AE102"	100	100	"M"	"F"	0.407894	"22"	"0"	0	0	0	0
"AE100"	"AE5"	100	103	"M"	"M"	0.575964	"22"	"0"	7618.1	6853.54835103686	330.43	20.7413017917164
"AE100"	"AE6"	100	103	"M"	"M"	0.325457	"22"	"0"	7618.1	6853.54835103686	330.43	20.7413017917164
"AE100"	"AE94"	100	101	"M"	"F"	0.115443	"22"	"0"	2397	1725.40574938187	376.75	4.5797100182664
"AE100"	"AE96"	100	101	"M"	"M"	0.181357	"22"	"0"	2397	1725.40574938187	376.75	4.5797100182664
"AE100"	"AE98"	100	101	"M"	"F"	0.059752	"22"	"0"	2397	1725.40574938187	376.75	4.5797100182664
"AE100"	"AE99"	100	100	"M"	"M"	0.467374	"22"	"0"	0	0	0	0
"AE100"	"SGLT36"	100	800	"M"	"M"	0.143148	"24"	"0"	7899.5	5505.66980484664	317.71	17.3292304455215
"AE100"	"SGLT37"	100	800	"M"	"M"	0.015521	"24"	"0"	7899.5	5505.66980484664	317.71	17.3292304455215
"AE100"	"SGLT38"	100	800	"M"	"F"	-0.017438	"24"	"0"	7899.5	5505.66980484664	317.71	17.3292304455215
"AE100"	"SGLT39"	100	800	"M"	"M"	0.066116	"24"	"0"	7899.5	5505.66980484664	317.71	17.3292304455215
"AE100"	"SGLT41"	100	800	"M"	"F"	0.10017	"24"	"0"	7899.5	5505.66980484664	317.71	17.3292304455215
"AE100"	"SGLT42"	100	800	"M"	"F"	0.118402	"24"	"0"	7899.5	5505.66980484664	317.71	17.3292304455215
"AE100"	"PDA17"	100	904	"M"	"F"	0.080197	"12"	"1"	25394.7	19582.2394020704	862.96	22.6919433137926
"AE100"	"PDA18"	100	904	"M"	"M"	-0.192239	"12"	"1"	25394.7	19582.2394020704	862.96	22.6919433137926
"AE100"	"PDA25"	100	904	"M"	"F"	0.066756	"12"	"1"	25394.7	19582.2394020704	862.96	22.6919433137926
"AE100"	"PDA26"	100	904	"M"	"M"	-0.097264	"12"	"1"	25394.7	19582.2394020704	862.96	22.6919433137926
